ZONE,Cu,Au,Cu_SK,Au_SK
2.0,1.346,5.602,1.5469338,2.82008891
2.0,1.342,0.043,1.70486379,2.82031652
2.0,2.091,0.043,1.69422492,0.53364714
2.0,2.089,0.043,1.84020271,0.1310912
2.0,2.015,0.043,1.93055636,0.06049808
2.0,2.015,0.043,1.96410984,0.04794916
2.0,2.016,0.043,1.98020339,0.04430143
2.0,2.017,0.043,1.98409224,0.03222843
2.0,2.013,0.009,1.9780892,0.042618
2.0,2.015,0.01,1.96065763,0.11096377
,,,,
2.0,0.163,0.955,0.17704833,0.9630348
2.0,0.163,0.955,0.18875512,0.98360137
2.0,0.203,0.97,0.18659608,1.11850497
,,,,
3.0,0.384,2.897,0.38435561,2.89338809
3.0,0.384,2.897,0.38437143,2.88448108
3.0,0.384,2.897,0.38434736,2.84920611
3.0,0.384,2.898,0.38424779,2.71157016
3.0,0.384,2.899,0.38387464,2.17944805
3.0,0.383,1.46,0.38387205,2.17953453
3.0,0.383,1.46,0.38349866,1.64778318
3.0,0.383,1.46,0.38339211,1.51102456
3.0,0.383,1.46,0.38332879,1.4804291
3.0,0.383,1.461,0.38316803,1.48989795
3.0,0.383,1.461,0.38260483,1.56036581
3.0,0.383,1.461,0.38047263,1.83932398
3.0,0.393,1.92,0.35802232,2.26225008
3.0,0.393,1.92,0.27522478,4.06239313
3.0,0.158,6.331,0.27793082,4.10065066
3.0,0.158,6.332,0.19806349,5.71941071
3.0,0.158,6.332,0.20307807,6.04610155
3.0,0.158,6.332,0.29935471,5.78203266
3.0,0.158,6.338,0.69156452,4.35763575
3.0,1.223,2.408,0.69139503,4.36630936
3.0,1.223,2.408,1.08546162,2.91403139
3.0,1.223,2.408,1.18752379,2.53789633
3.0,1.223,2.408,1.21402991,2.44045288
3.0,1.223,2.408,1.22116715,2.41549413
3.0,1.224,2.409,1.22257373,2.40918972
3.0,1.224,2.409,1.22207334,2.40867874
3.0,1.224,2.409,1.21762994,2.41138643
3.0,1.224,2.41,1.2017405,2.41817079
,,,,
1.0,0.054,1.14,0.05288931,1.12222704
1.0,0.054,1.14,0.05324933,1.14093246
1.0,0.054,1.141,0.05345453,1.14644153
1.0,0.054,1.141,0.05355749,1.1483572
1.0,0.054,1.141,0.05358838,1.1490894
1.0,0.054,1.141,0.05364998,1.14942553
1.0,0.054,1.141,0.05349098,1.14972143
1.0,0.053,1.142,0.05351229,1.14957495
1.0,0.053,1.142,0.05333535,1.14354611
1.0,0.053,1.142,0.05322947,1.14375558
1.0,0.053,1.142,0.05317108,1.14415017
1.0,0.053,1.143,0.05314439,1.14416786
1.0,0.053,1.143,0.05314639,1.14453953
1.0,0.053,1.143,0.05317423,1.14466726
1.0,0.053,1.143,0.05324432,1.14477063
1.0,0.053,1.143,0.05336002,1.1450399
1.0,0.053,1.144,0.0535599,1.14470469
1.0,0.053,1.144,0.05388778,1.14398275
1.0,0.053,1.144,0.05442793,1.1405626
1.0,0.053,1.144,0.05530084,1.12918408
1.0,0.053,1.144,0.05671622,1.09214715
1.0,0.053,1.144,0.05902187,0.9719161
1.0,0.065,0.796,0.05902715,0.97176437
1.0,0.065,0.796,0.06132922,0.85153679
1.0,0.065,0.796,0.06275035,0.81449576
1.0,0.065,0.796,0.06362483,0.80310421
1.0,0.065,0.796,0.06416789,0.79960038
1.0,0.065,0.796,0.06449802,0.7985201
1.0,0.065,0.796,0.06469953,0.79823762
